Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.008940	 -1.#IND00 	 numero de thread:4
0.008960	 -1.#IND00 	 numero de thread:4
0.008980	 -1.#IND00 	 numero de thread:4
0.009000	 -1.#IND00 	 numero de thread:4
0.009020	 -1.#IND00 	 numero de thread:4
0.009040	 -1.#IND00 	 numero de thread:4
0.009060	 -1.#IND00 	 numero de thread:4
0.009080	 -1.#IND00 	 numero de thread:4
0.009100	 -1.#IND00 	 numero de thread:4
0.009120	 -1.#IND00 	 numero de thread:4
0.009140	 -1.#IND00 	 numero de thread:4
0.009160	 -1.#IND00 	 numero de thread:4
0.009180	 -1.#IND00 	 numero de thread:4
0.009200	 -1.#IND00 	 numero de thread:4
0.009220	 -1.#IND00 	 numero de thread:4
0.009240	 -1.#IND00 	 numero de thread:4
0.009260	 -1.#IND00 	 numero de thread:4
0.009280	 -1.#IND00 	 numero de thread:4
0.009300	 -1.#IND00 	 numero de thread:4
0.009320	 -1.#IND00 	 numero de thread:4
0.009340	 -1.#IND00 	 numero de thread:4
0.009360	 -1.#IND00 	 numero de thread:4
0.009380	 -1.#IND00 	 numero de thread:4
0.009400	 -1.#IND00 	 numero de thread:4
0.009420	 -1.#IND00 	 numero de thread:4
0.009440	 -1.#IND00 	 numero de thread:4
0.009460	 -1.#IND00 	 numero de thread:4
0.009480	 -1.#IND00 	 numero de thread:4
0.009500	 -1.#IND00 	 numero de thread:4
0.009520	 -1.#IND00 	 numero de thread:4
0.009540	 -1.#IND00 	 numero de thread:4
0.009560	 -1.#IND00 	 numero de thread:4
0.009580	 -1.#IND00 	 numero de thread:4
0.009600	 -1.#IND00 	 numero de thread:4
0.009620	 -1.#IND00 	 numero de thread:4
0.009640	 -1.#IND00 	 numero de thread:4
0.009660	 -1.#IND00 	 numero de thread:4
0.009680	 -1.#IND00 	 numero de thread:4
0.009700	 -1.#IND00 	 numero de thread:4
0.009720	 -1.#IND00 	 numero de thread:4
